Start: Fri Nov 22 23:54:15 CST 2019
Threads: 64 | Map Partitions: 4096 | "Elapsed time: 20391.92 msecs"
Threads:  1 | Map Partitions: 8192 | "Elapsed time: 119638.7332 msecs"
Threads:  2 | Map Partitions: 8192 | "Elapsed time: 77023.8394 msecs"
Threads:  4 | Map Partitions: 8192 | "Elapsed time: 50521.5757 msecs"
Threads:  8 | Map Partitions: 8192 | "Elapsed time: 35752.7258 msecs"
Threads: 16 | Map Partitions: 8192 | "Elapsed time: 27724.2716 msecs"
Threads: 20 | Map Partitions: 8192 | "Elapsed time: 25541.5311 msecs"
Threads: 32 | Map Partitions: 8192 | "Elapsed time: 26222.0819 msecs"
Threads: 64 | Map Partitions: 8192 | "Elapsed time: 24945.5508 msecs"
Threads:  1 | Map Partitions: 10000 | "Elapsed time: 180485.1256 msecs"
Threads:  2 | Map Partitions: 10000 | "Elapsed time: 125368.1214 msecs"
Threads:  4 | Map Partitions: 10000 | "Elapsed time: 86520.1671 msecs"
Threads:  8 | Map Partitions: 10000 | "Elapsed time: 60331.5691 msecs"
Threads: 16 | Map Partitions: 10000 | "Elapsed time: 42727.0161 msecs"
Threads: 20 | Map Partitions: 10000 | "Elapsed time: 40742.2458 msecs"
Threads: 32 | Map Partitions: 10000 | "Elapsed time: 41125.874 msecs"
Threads: 64 | Map Partitions: 10000 | "Elapsed time: 40175.4263 msecs"
End: Sat Nov 23 07:26:01 CST 2019

Start: Sat Nov 23 11:39:44 CST 2019
Threads:  1 | Map Partitions: 1 | "Elapsed time: 55633.2712 msecs"
Threads:  2 | Map Partitions: 1 | "Elapsed time: 55827.5663 msecs"
Threads:  4 | Map Partitions: 1 | "Elapsed time: 55728.7273 msecs"
Threads:  8 | Map Partitions: 1 | "Elapsed time: 56265.6465 msecs"
Threads: 16 | Map Partitions: 1 | "Elapsed time: 56063.5713 msecs"
Threads: 20 | Map Partitions: 1 | "Elapsed time: 55964.8566 msecs"
Threads: 32 | Map Partitions: 1 | "Elapsed time: 55958.9497 msecs"
Threads: 64 | Map Partitions: 1 | "Elapsed time: 55925.8527 msecs"
Threads:  1 | Map Partitions: 2 | "Elapsed time: 55101.4196 msecs"
Threads:  2 | Map Partitions: 2 | "Elapsed time: 31686.6996 msecs"
Threads:  4 | Map Partitions: 2 | "Elapsed time: 31728.4353 msecs"
Threads:  8 | Map Partitions: 2 | "Elapsed time: 31703.3642 msecs"
Threads: 16 | Map Partitions: 2 | "Elapsed time: 31729.3806 msecs"
Threads: 20 | Map Partitions: 2 | "Elapsed time: 31733.7892 msecs"
Threads: 32 | Map Partitions: 2 | "Elapsed time: 31824.0299 msecs"
Threads: 64 | Map Partitions: 2 | "Elapsed time: 31897.538 msecs"
Threads:  1 | Map Partitions: 4 | "Elapsed time: 54926.6555 msecs"
Threads:  2 | Map Partitions: 4 | "Elapsed time: 29323.0203 msecs"
Threads:  4 | Map Partitions: 4 | "Elapsed time: 19297.7076 msecs"
Threads:  8 | Map Partitions: 4 | "Elapsed time: 19287.625 msecs"
Threads: 16 | Map Partitions: 4 | "Elapsed time: 19232.8029 msecs"
Threads: 20 | Map Partitions: 4 | "Elapsed time: 19258.5986 msecs"
Threads: 32 | Map Partitions: 4 | "Elapsed time: 19289.619 msecs"
Threads: 64 | Map Partitions: 4 | "Elapsed time: 19272.2981 msecs"
Threads:  1 | Map Partitions: 8 | "Elapsed time: 55139.8512 msecs"
Threads:  2 | Map Partitions: 8 | "Elapsed time: 23163.1725 msecs"
Threads:  4 | Map Partitions: 8 | "Elapsed time: 16632.9019 msecs"
Threads:  8 | Map Partitions: 8 | "Elapsed time: 12765.6436 msecs"
Threads: 16 | Map Partitions: 8 | "Elapsed time: 12746.6819 msecs"
Threads: 20 | Map Partitions: 8 | "Elapsed time: 12760.82 msecs"
Threads: 32 | Map Partitions: 8 | "Elapsed time: 12735.5101 msecs"
Threads: 64 | Map Partitions: 8 | "Elapsed time: 12747.7493 msecs"
